,date,volume
480,25-04-2016,79009
481,26-04-2016,70494
482,27-04-2016,63054
483,28-04-2016,59490
484,29-04-2016,50299
485,30-04-2016,0
486,01-05-2016,14850
487,02-05-2016,81008
488,03-05-2016,75647
489,04-05-2016,62736
490,05-05-2016,1211
491,06-05-2016,50322
492,07-05-2016,0
493,08-05-2016,11777
494,09-05-2016,76125
495,10-05-2016,66152
496,11-05-2016,62730
497,12-05-2016,60436
498,13-05-2016,51360
499,14-05-2016,0
500,15-05-2016,0
501,16-05-2016,15804
502,17-05-2016,83384
503,18-05-2016,74277
504,19-05-2016,65132
505,20-05-2016,52637
506,21-05-2016,0
507,22-05-2016,12348
508,23-05-2016,76908
509,24-05-2016,70617
510,25-05-2016,62766
511,26-05-2016,59697
512,27-05-2016,45914
513,28-05-2016,0
514,29-05-2016,9660
515,30-05-2016,72716
516,31-05-2016,70942
517,01-06-2016,68183
518,02-06-2016,64022
519,03-06-2016,56133
520,04-06-2016,0
521,05-06-2016,10768
522,06-06-2016,71582
523,07-06-2016,70205
524,08-06-2016,68577
525,09-06-2016,62681
526,10-06-2016,49834
527,11-06-2016,0
528,12-06-2016,11377
529,13-06-2016,74454
530,14-06-2016,70814
531,15-06-2016,65247
532,16-06-2016,63109
533,17-06-2016,52645
534,18-06-2016,0
535,19-06-2016,11918
536,20-06-2016,74109
537,21-06-2016,64377
538,22-06-2016,60894
539,23-06-2016,56865
540,24-06-2016,44136
541,25-06-2016,0
542,26-06-2016,8497
543,27-06-2016,68676
544,28-06-2016,63230
545,29-06-2016,58919
546,30-06-2016,56702
547,01-07-2016,48703
548,02-07-2016,0
549,03-07-2016,11354
550,04-07-2016,71096
551,05-07-2016,63450
552,06-07-2016,60840
553,07-07-2016,55316
554,08-07-2016,45271
555,09-07-2016,0
556,10-07-2016,10693
557,11-07-2016,65487
558,12-07-2016,57201
559,13-07-2016,50529
560,14-07-2016,45624
561,15-07-2016,38523
562,16-07-2016,0
563,17-07-2016,8524
564,18-07-2016,57506
565,19-07-2016,49864
566,20-07-2016,42423
567,21-07-2016,38999
568,22-07-2016,35876
569,23-07-2016,0
570,24-07-2016,7619
571,25-07-2016,55064
572,26-07-2016,47634
573,27-07-2016,46982
574,28-07-2016,44169
575,29-07-2016,40769
576,30-07-2016,0
577,31-07-2016,10281
578,01-08-2016,64834
579,02-08-2016,64790
580,03-08-2016,62341
581,04-08-2016,57772
582,05-08-2016,48129
583,06-08-2016,0
584,07-08-2016,13346
585,08-08-2016,68747
586,09-08-2016,67738
587,10-08-2016,62046
588,11-08-2016,58976
589,12-08-2016,47164
590,13-08-2016,0
591,14-08-2016,13938
592,15-08-2016,71200
593,16-08-2016,64686
594,17-08-2016,60317
595,18-08-2016,59925
596,19-08-2016,47049
597,20-08-2016,0
598,21-08-2016,11669
599,22-08-2016,61361
600,23-08-2016,64816
601,24-08-2016,57989
602,25-08-2016,56392
603,26-08-2016,46253
604,27-08-2016,0
605,28-08-2016,11303
606,29-08-2016,71913
607,30-08-2016,66002
608,31-08-2016,64150
609,01-09-2016,64656
610,02-09-2016,51054
611,03-09-2016,0
612,04-09-2016,15261
613,05-09-2016,76006
614,06-09-2016,71862
615,07-09-2016,64354
616,08-09-2016,62785
617,09-09-2016,50175
618,10-09-2016,0
619,11-09-2016,13677
620,12-09-2016,72734
621,13-09-2016,62666
622,14-09-2016,59377
623,15-09-2016,59485
624,16-09-2016,47601
625,17-09-2016,0
626,18-09-2016,11662
627,19-09-2016,72168
628,20-09-2016,65777
629,21-09-2016,60873
630,22-09-2016,59033
631,23-09-2016,46709
632,24-09-2016,0
633,25-09-2016,11663
634,26-09-2016,70675
635,27-09-2016,65285
636,28-09-2016,60567
637,29-09-2016,60687
638,30-09-2016,52025
639,01-10-2016,0
640,02-10-2016,14996
641,03-10-2016,73379
642,04-10-2016,72408
643,05-10-2016,71651
644,06-10-2016,67706
645,07-10-2016,54839
646,08-10-2016,0
647,09-10-2016,17338
648,10-10-2016,76993
649,11-10-2016,71916
650,12-10-2016,66467
651,13-10-2016,62081
652,14-10-2016,53668
653,15-10-2016,0
654,16-10-2016,12506
655,17-10-2016,74311
656,18-10-2016,65733
657,19-10-2016,58996
658,20-10-2016,57734
659,21-10-2016,49308
660,22-10-2016,0
661,23-10-2016,13030
662,24-10-2016,75432
663,25-10-2016,67579
664,26-10-2016,63592
665,27-10-2016,59923
666,28-10-2016,51002
667,29-10-2016,0
668,30-10-2016,13413
669,31-10-2016,76968
670,01-11-2016,71319
671,02-11-2016,67232
672,03-11-2016,68856
673,04-11-2016,52974
674,05-11-2016,0
675,06-11-2016,19059
676,07-11-2016,79017
677,08-11-2016,76105
678,09-11-2016,77399
679,10-11-2016,67682
680,11-11-2016,54034
681,12-11-2016,0
682,13-11-2016,16046
683,14-11-2016,78581
684,15-11-2016,74268
685,16-11-2016,68741
686,17-11-2016,64884
687,18-11-2016,52896
688,19-11-2016,0
689,20-11-2016,13872
690,21-11-2016,76985
691,22-11-2016,73074
692,23-11-2016,65881
693,24-11-2016,64436
694,25-11-2016,66126
695,26-11-2016,0
696,27-11-2016,34411
697,28-11-2016,105519
698,29-11-2016,101266
699,30-11-2016,93479
700,01-12-2016,83846
701,02-12-2016,69271
702,03-12-2016,0
703,04-12-2016,21586
704,05-12-2016,95836
705,06-12-2016,90614
706,07-12-2016,88667
707,08-12-2016,81211
708,09-12-2016,71046
709,10-12-2016,0
710,11-12-2016,31914
711,12-12-2016,106443
712,13-12-2016,104331
713,14-12-2016,101274
714,15-12-2016,88888
715,16-12-2016,78347
716,17-12-2016,0
717,18-12-2016,38366
718,19-12-2016,115029
719,20-12-2016,95105
720,21-12-2016,80564
721,22-12-2016,58569
722,23-12-2016,30085
723,24-12-2016,0
724,25-12-2016,0
725,26-12-2016,3380
726,27-12-2016,50561
727,28-12-2016,49504
728,29-12-2016,44868
729,30-12-2016,38818
730,31-12-2016,0
731,01-01-2017,3523
732,02-01-2017,68807
733,03-01-2017,68741
734,04-01-2017,68004
735,05-01-2017,66535
736,06-01-2017,53762
737,07-01-2017,0
738,08-01-2017,8492
739,09-01-2017,84246
740,10-01-2017,77870
741,11-01-2017,68095
742,12-01-2017,62559
743,13-01-2017,51499
744,14-01-2017,0
745,15-01-2017,8749
746,16-01-2017,79131
747,17-01-2017,66935
748,18-01-2017,61884
749,19-01-2017,57351
750,20-01-2017,48557
751,21-01-2017,0
752,22-01-2017,10110
753,23-01-2017,76355
754,24-01-2017,66118
755,25-01-2017,60618
756,26-01-2017,57938
757,27-01-2017,49070
758,28-01-2017,0
759,29-01-2017,10681
760,30-01-2017,76543
761,31-01-2017,69024
762,01-02-2017,65161
763,02-02-2017,62546
764,03-02-2017,52818
765,04-02-2017,0
766,05-02-2017,9757
767,06-02-2017,78124
768,07-02-2017,72764
769,08-02-2017,63684
770,09-02-2017,58167
771,10-02-2017,50015
772,11-02-2017,0
773,12-02-2017,10555
774,13-02-2017,68079
775,14-02-2017,60266
776,15-02-2017,55499
777,16-02-2017,50797
778,17-02-2017,46378
779,18-02-2017,0
780,19-02-2017,10175
781,20-02-2017,67707
782,21-02-2017,66555
783,22-02-2017,60302
784,23-02-2017,56633
785,24-02-2017,48546
786,25-02-2017,0
787,26-02-2017,9914
788,27-02-2017,74191
789,28-02-2017,69887
790,01-03-2017,64885
791,02-03-2017,62537
792,03-03-2017,50264
793,04-03-2017,0
794,05-03-2017,11591
795,06-03-2017,77489
796,07-03-2017,70240
797,08-03-2017,62493
798,09-03-2017,57970
799,10-03-2017,49763
800,11-03-2017,0
801,12-03-2017,10419
802,13-03-2017,73563
803,14-03-2017,65782
804,15-03-2017,61941
805,16-03-2017,57492
806,17-03-2017,50598
807,18-03-2017,0
808,19-03-2017,10832
809,20-03-2017,76071
810,21-03-2017,68974
811,22-03-2017,60183
812,23-03-2017,58187
813,24-03-2017,46466
814,25-03-2017,0
815,26-03-2017,10127
816,27-03-2017,71712
817,28-03-2017,64777
818,29-03-2017,60813
819,30-03-2017,60287
820,31-03-2017,52373
821,01-04-2017,0
822,02-04-2017,11514
823,03-04-2017,79257
824,04-04-2017,72979
825,05-04-2017,67964
826,06-04-2017,64466
827,07-04-2017,54261
828,08-04-2017,0
829,09-04-2017,11146
830,10-04-2017,75728
831,11-04-2017,65559
832,12-04-2017,54532
833,13-04-2017,1
834,14-04-2017,1
835,15-04-2017,0
836,16-04-2017,1
837,17-04-2017,17258
838,18-04-2017,90312
839,19-04-2017,86477
840,20-04-2017,80619
841,21-04-2017,60799
842,22-04-2017,0
843,23-04-2017,15845
844,24-04-2017,80222
845,25-04-2017,76274
846,26-04-2017,67763
847,27-04-2017,63294
848,28-04-2017,52856
849,29-04-2017,0
850,30-04-2017,14306
851,01-05-2017,66176
852,02-05-2017,72822
853,03-05-2017,70875
854,04-05-2017,72761
855,05-05-2017,59797
856,06-05-2017,0
857,07-05-2017,12803
858,08-05-2017,79762
859,09-05-2017,72725
860,10-05-2017,67286
861,11-05-2017,59805
862,12-05-2017,0
863,13-05-2017,0
864,14-05-2017,18867
865,15-05-2017,85745
866,16-05-2017,79493
867,17-05-2017,67941
868,18-05-2017,64781
869,19-05-2017,53130
870,20-05-2017,0
871,21-05-2017,12035
872,22-05-2017,75649
873,23-05-2017,69940
